epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.2845,0.64939,0.46377,0.86957,1.54004,0.000236867,0.000236867,0.000236867
2,82.7091,0.33216,0.53623,0.97101,1.21289,0.000427855,0.000427855,0.000427855
3,115.82,0.24696,0.57971,0.95652,1.36816,0.000571719,0.000571719,0.000571719
4,150.055,0.20685,0.57971,0.94203,1.4209,0.000501942,0.000501942,0.000501942
5,186.125,0.14553,0.52174,0.92754,1.58398,0.000431256,0.000431256,0.000431256
6,224.801,0.11526,0.57971,0.94203,1.40137,0.00036057,0.00036057,0.00036057
7,258.046,0.08557,0.62319,0.94203,1.55762,0.000289884,0.000289884,0.000289884
8,293.186,0.07181,0.63768,0.92754,1.55762,0.000219198,0.000219198,0.000219198
9,329.106,0.06158,0.62319,0.94203,1.72852,0.000148512,0.000148512,0.000148512
10,362.288,0.05687,0.6087,0.94203,1.64258,7.7826e-05,7.7826e-05,7.7826e-05
