epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.9816,0.32102,0.44928,0.73913,4.75,0.000236996,0.000236996,0.000236996
2,54.0539,0.19995,0.43478,0.73913,4.92969,0.000456186,0.000456186,0.000456186
3,76.2422,0.19662,0.43478,0.75362,4.69531,0.000656527,0.000656527,0.000656527
4,97.9161,0.19252,0.44928,0.71014,4.91406,0.000629177,0.000629177,0.000629177
5,119.652,0.16126,0.42029,0.68116,5.63672,0.000600902,0.000600902,0.000600902
6,143.091,0.13855,0.43478,0.68116,5.01562,0.000572628,0.000572628,0.000572628
7,166.786,0.12034,0.42029,0.71014,6.23047,0.000544354,0.000544354,0.000544354
8,192.453,0.11128,0.46377,0.73913,6.42969,0.000516079,0.000516079,0.000516079
9,219.766,0.10051,0.47826,0.72464,5.78906,0.000487805,0.000487805,0.000487805
10,246.982,0.09278,0.44928,0.72464,6.16797,0.00045953,0.00045953,0.00045953
11,270.894,0.08255,0.44928,0.71014,6.25781,0.000431256,0.000431256,0.000431256
12,295.344,0.08075,0.43478,0.72464,6.24609,0.000402982,0.000402982,0.000402982
13,321.342,0.06858,0.46377,0.72464,6.28906,0.000374707,0.000374707,0.000374707
14,345.659,0.05964,0.43478,0.72464,6.83984,0.000346433,0.000346433,0.000346433
15,369.062,0.068,0.46377,0.73913,6.82422,0.000318158,0.000318158,0.000318158
