epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,129.743,0.31853,0.46377,0.73913,4.56641,0.000236996,0.000236996,0.000236996
2,275.73,0.20018,0.3913,0.75362,4.78906,0.000456186,0.000456186,0.000456186
3,412.614,0.18926,0.43478,0.73913,5.53516,0.000656527,0.000656527,0.000656527
4,534.829,0.19234,0.37681,0.73913,5.07812,0.000629177,0.000629177,0.000629177
5,654.476,0.15595,0.42029,0.69565,6.11719,0.000600902,0.000600902,0.000600902
6,776.779,0.14003,0.36232,0.75362,5.75391,0.000572628,0.000572628,0.000572628
7,897.452,0.12902,0.42029,0.68116,6.06641,0.000544354,0.000544354,0.000544354
8,1017.71,0.10511,0.43478,0.71014,6.3125,0.000516079,0.000516079,0.000516079
9,1142.7,0.10157,0.43478,0.71014,6.35156,0.000487805,0.000487805,0.000487805
10,1268.03,0.09782,0.44928,0.69565,5.62109,0.00045953,0.00045953,0.00045953
11,1380.07,0.08781,0.43478,0.72464,6.58203,0.000431256,0.000431256,0.000431256
