epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.7247,0.39186,0.46377,0.73913,2.89014,0.000332629,0.000332629,0.0670698
2,91.8578,0.3302,0.43478,0.66667,6.80664,0.00063959,0.00063959,0.0340434
3,133.16,0.29437,0.37681,0.73913,8.46875,0.000920151,0.000920151,0.000990623
4,172.956,0.2605,0.49275,0.66667,4.88867,0.0008812,0.0008812,0.0008812
5,213.268,0.2101,0.47826,0.71014,6.21484,0.0008416,0.0008416,0.0008416
6,252.608,0.1801,0.46377,0.71014,7.95898,0.000802,0.000802,0.000802
7,292.759,0.16184,0.47826,0.69565,6.91992,0.0007624,0.0007624,0.0007624
8,332.307,0.13727,0.44928,0.75362,7.93359,0.0007228,0.0007228,0.0007228
9,371.027,0.12025,0.47826,0.73913,6.45898,0.0006832,0.0006832,0.0006832
10,411.293,0.113,0.43478,0.71014,5.80859,0.0006436,0.0006436,0.0006436
11,451.08,0.10703,0.46377,0.71014,6.76562,0.000604,0.000604,0.000604
12,490.415,0.09179,0.44928,0.71014,9.58984,0.0005644,0.0005644,0.0005644
13,530.557,0.08197,0.46377,0.68116,4.37695,0.0005248,0.0005248,0.0005248
14,574.152,0.08027,0.49275,0.72464,5.85742,0.0004852,0.0004852,0.0004852
15,616.66,0.07399,0.47826,0.68116,8.80078,0.0004456,0.0004456,0.0004456
16,669.411,0.06564,0.50725,0.75362,6.63672,0.000406,0.000406,0.000406
17,707.5,0.06235,0.44928,0.72464,9.75391,0.0003664,0.0003664,0.0003664
18,745.478,0.05624,0.44928,0.75362,8.18359,0.0003268,0.0003268,0.0003268
19,785.273,0.05327,0.46377,0.73913,4.61963,0.0002872,0.0002872,0.0002872
20,825.974,0.04918,0.43478,0.73913,6.69336,0.0002476,0.0002476,0.0002476
21,865.448,0.04438,0.47826,0.73913,4.37061,0.000208,0.000208,0.000208
22,905.917,0.03424,0.46377,0.7971,6.58398,0.0001684,0.0001684,0.0001684
23,949.718,0.04162,0.44928,0.72464,9.9043,0.0001288,0.0001288,0.0001288
24,989.351,0.03391,0.44928,0.72464,8.15039,8.92e-05,8.92e-05,8.92e-05
25,1027.74,0.02887,0.46377,0.72464,10.3867,4.96e-05,4.96e-05,4.96e-05
