epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.5456,0.38517,0.43478,0.72464,2.97266,3.32629e-05,3.32629e-05,0.0667704
2,82.623,0.30344,0.46377,0.71014,5.67383,6.63363e-05,6.63363e-05,0.0334701
3,123.082,0.2409,0.44928,0.73913,6.39453,9.83755e-05,9.83755e-05,0.000168848
4,162.575,0.20511,0.47826,0.72464,5.14648,9.65239e-05,9.65239e-05,9.65239e-05
5,199.235,0.18688,0.46377,0.73913,5.11719,9.38772e-05,9.38772e-05,9.38772e-05
6,231.176,0.1711,0.44928,0.71014,5.90234,9.05463e-05,9.05463e-05,9.05463e-05
7,274.311,0.15481,0.46377,0.72464,6.61914,8.65839e-05,8.65839e-05,8.65839e-05
8,314.598,0.15235,0.47826,0.72464,7.66797,8.20525e-05,8.20525e-05,8.20525e-05
9,355.526,0.13512,0.46377,0.73913,6.11719,7.70234e-05,7.70234e-05,7.70234e-05
10,397.558,0.13073,0.46377,0.75362,5.10547,7.15761e-05,7.15761e-05,7.15761e-05
11,438.73,0.12448,0.47826,0.68116,5.23047,6.57963e-05,6.57963e-05,6.57963e-05
12,478.728,0.11996,0.47826,0.71014,8.65625,5.97754e-05,5.97754e-05,5.97754e-05
13,519.293,0.11118,0.47826,0.71014,3.41943,5.36081e-05,5.36081e-05,5.36081e-05
14,560.245,0.11233,0.46377,0.71014,4.95801,4.73919e-05,4.73919e-05,4.73919e-05
15,600.522,0.10751,0.44928,0.73913,5.9375,4.12246e-05,4.12246e-05,4.12246e-05
16,653.421,0.09774,0.47826,0.71014,5.31055,3.52037e-05,3.52037e-05,3.52037e-05
17,693.629,0.10331,0.47826,0.71014,6.97461,2.94239e-05,2.94239e-05,2.94239e-05
18,734.023,0.09761,0.47826,0.72464,7.2832,2.39766e-05,2.39766e-05,2.39766e-05
19,772.871,0.09357,0.44928,0.71014,4.22363,1.89475e-05,1.89475e-05,1.89475e-05
20,813.148,0.09313,0.47826,0.71014,6.03711,1.44161e-05,1.44161e-05,1.44161e-05
