epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,43.8471,0.34321,0.3913,0.75362,3.53809,0.000166314,0.000166314,0.0669035
2,86.1702,0.26438,0.43478,0.68116,6.82422,0.000319795,0.000319795,0.0337236
3,127.975,0.21136,0.47826,0.68116,8.42969,0.000460076,0.000460076,0.000530548
4,170.348,0.16267,0.44928,0.73913,5.62891,0.0004406,0.0004406,0.0004406
5,216.736,0.13716,0.4058,0.68116,5.61914,0.0004208,0.0004208,0.0004208
6,258.757,0.10589,0.43478,0.73913,8.95117,0.000401,0.000401,0.000401
7,302.326,0.09744,0.43478,0.76812,7.93359,0.0003812,0.0003812,0.0003812
8,344.366,0.08594,0.42029,0.73913,8.80664,0.0003614,0.0003614,0.0003614
9,385.477,0.07015,0.42029,0.73913,6.71875,0.0003416,0.0003416,0.0003416
10,426.676,0.06905,0.43478,0.68116,5.94531,0.0003218,0.0003218,0.0003218
11,468.774,0.06675,0.50725,0.72464,5.91016,0.000302,0.000302,0.000302
12,510.65,0.06331,0.47826,0.68116,9.30859,0.0002822,0.0002822,0.0002822
13,544.172,0.053,0.47826,0.66667,4.30078,0.0002624,0.0002624,0.0002624
14,586.391,0.05123,0.43478,0.73913,5.29785,0.0002426,0.0002426,0.0002426
15,627.497,0.04365,0.43478,0.75362,7.27344,0.0002228,0.0002228,0.0002228
16,683.382,0.04441,0.44928,0.68116,6.83789,0.000203,0.000203,0.000203
17,726.497,0.04103,0.44928,0.72464,8.26367,0.0001832,0.0001832,0.0001832
18,770.233,0.03589,0.44928,0.73913,9.53125,0.0001634,0.0001634,0.0001634
19,812.806,0.03494,0.43478,0.68116,5.01562,0.0001436,0.0001436,0.0001436
20,846.809,0.03251,0.43478,0.71014,6.91797,0.0001238,0.0001238,0.0001238
21,882.903,0.03176,0.46377,0.68116,4.98828,0.000104,0.000104,0.000104
