epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.3206,0.41956,0.44928,0.68116,3.76562,0.000166314,0.000166314,0.0669035
2,82.7694,0.33897,0.46377,0.63768,5.95117,0.000319795,0.000319795,0.0337236
3,118.973,0.27097,0.42029,0.69565,7.36328,0.000460076,0.000460076,0.000530548
4,159.634,0.22787,0.47826,0.71014,4.56543,0.0004406,0.0004406,0.0004406
5,206.288,0.19489,0.44928,0.72464,5.56055,0.0004208,0.0004208,0.0004208
6,250.896,0.16901,0.47826,0.69565,5.88672,0.000401,0.000401,0.000401
7,293.32,0.1535,0.42029,0.72464,7.95703,0.0003812,0.0003812,0.0003812
8,333.856,0.13701,0.44928,0.69565,8.56836,0.0003614,0.0003614,0.0003614
9,375.53,0.12733,0.49275,0.69565,6.65039,0.0003416,0.0003416,0.0003416
10,416.118,0.10899,0.49275,0.72464,5.52539,0.0003218,0.0003218,0.0003218
11,456.961,0.10651,0.44928,0.76812,6.14844,0.000302,0.000302,0.000302
12,499.015,0.09894,0.50725,0.72464,9.25391,0.0002822,0.0002822,0.0002822
13,540.032,0.09403,0.49275,0.69565,3.9126,0.0002624,0.0002624,0.0002624
14,581.072,0.09068,0.44928,0.75362,4.95312,0.0002426,0.0002426,0.0002426
15,622.944,0.08527,0.49275,0.76812,8.05859,0.0002228,0.0002228,0.0002228
16,677.888,0.0735,0.47826,0.73913,6.49023,0.000203,0.000203,0.000203
17,718.738,0.0691,0.47826,0.72464,9.22852,0.0001832,0.0001832,0.0001832
18,759.998,0.06834,0.47826,0.73913,8.53906,0.0001634,0.0001634,0.0001634
19,799.44,0.06228,0.50725,0.78261,4.86816,0.0001436,0.0001436,0.0001436
20,838.391,0.05989,0.46377,0.73913,7.01953,0.0001238,0.0001238,0.0001238
21,877.147,0.05279,0.44928,0.73913,4.34033,0.000104,0.000104,0.000104
22,916.924,0.05276,0.49275,0.75362,6.33984,8.42e-05,8.42e-05,8.42e-05
23,957.703,0.05051,0.44928,0.73913,11.9102,6.44e-05,6.44e-05,6.44e-05
24,999.141,0.0484,0.44928,0.73913,7.8418,4.46e-05,4.46e-05,4.46e-05
25,1040.37,0.04479,0.44928,0.73913,10.0781,2.48e-05,2.48e-05,2.48e-05
