epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.4483,0.39248,0.43478,0.69565,3.31738,0.000166314,0.000166314,0.0669035
2,81.8974,0.30603,0.44928,0.65217,6.14062,0.000319795,0.000319795,0.0337236
3,123.188,0.2439,0.47826,0.71014,7.02734,0.000460076,0.000460076,0.000530548
4,163.484,0.21042,0.50725,0.71014,5.18164,0.0004406,0.0004406,0.0004406
5,205.035,0.17457,0.43478,0.68116,5.78516,0.0004208,0.0004208,0.0004208
6,246.725,0.15334,0.43478,0.66667,7.14648,0.000401,0.000401,0.000401
7,294.667,0.13206,0.42029,0.72464,6.53711,0.0003812,0.0003812,0.0003812
8,341.584,0.13023,0.43478,0.69565,8.25391,0.0003614,0.0003614,0.0003614
9,388.491,0.10464,0.44928,0.69565,6.9043,0.0003416,0.0003416,0.0003416
10,431.803,0.099,0.46377,0.69565,5.36133,0.0003218,0.0003218,0.0003218
11,472.889,0.09321,0.47826,0.75362,5.71289,0.000302,0.000302,0.000302
12,512.349,0.08559,0.47826,0.71014,9.86914,0.0002822,0.0002822,0.0002822
13,549.802,0.07585,0.44928,0.69565,3.80054,0.0002624,0.0002624,0.0002624
14,589.22,0.07828,0.47826,0.71014,5.25391,0.0002426,0.0002426,0.0002426
15,629.008,0.07187,0.42029,0.66667,8.05664,0.0002228,0.0002228,0.0002228
16,681.007,0.06286,0.44928,0.73913,5.92969,0.000203,0.000203,0.000203
17,721.048,0.06306,0.46377,0.72464,9.16602,0.0001832,0.0001832,0.0001832
18,760.288,0.05696,0.46377,0.71014,8.26562,0.0001634,0.0001634,0.0001634
19,800.85,0.05863,0.52174,0.72464,4.79199,0.0001436,0.0001436,0.0001436
20,842.257,0.05034,0.46377,0.69565,6.875,0.0001238,0.0001238,0.0001238
21,884.892,0.04867,0.47826,0.71014,4.83203,0.000104,0.000104,0.000104
22,925.48,0.03912,0.46377,0.69565,6.60156,8.42e-05,8.42e-05,8.42e-05
23,966.583,0.04739,0.47826,0.68116,11.9258,6.44e-05,6.44e-05,6.44e-05
24,1007.44,0.0404,0.47826,0.68116,8.51953,4.46e-05,4.46e-05,4.46e-05
25,1049.36,0.03591,0.49275,0.68116,10.1426,2.48e-05,2.48e-05,2.48e-05
