epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.1945,0.36546,0.42029,0.71014,3.35547,0.000166314,0.000166314,0.0669035
2,81.167,0.27699,0.4058,0.72464,5.74219,0.000319795,0.000319795,0.0337236
3,122.505,0.22634,0.42029,0.68116,6.94141,0.000460076,0.000460076,0.000530548
4,162.348,0.19657,0.44928,0.71014,5.37305,0.0004406,0.0004406,0.0004406
5,202.994,0.17881,0.42029,0.65217,5.31445,0.0004208,0.0004208,0.0004208
6,247.661,0.16247,0.4058,0.68116,6.10742,0.000401,0.000401,0.000401
7,296.042,0.14847,0.42029,0.68116,6.04102,0.0003812,0.0003812,0.0003812
8,337.331,0.14274,0.43478,0.65217,7.24609,0.0003614,0.0003614,0.0003614
9,375.382,0.13045,0.43478,0.65217,5.50391,0.0003416,0.0003416,0.0003416
10,416.216,0.1282,0.4058,0.66667,4.98047,0.0003218,0.0003218,0.0003218
11,456.697,0.11923,0.43478,0.69565,5.32812,0.000302,0.000302,0.000302
12,496.44,0.11301,0.44928,0.63768,8.72461,0.0002822,0.0002822,0.0002822
13,535.986,0.11039,0.43478,0.68116,3.63159,0.0002624,0.0002624,0.0002624
14,574.512,0.10538,0.43478,0.65217,5.21289,0.0002426,0.0002426,0.0002426
