epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.5768,0.38457,0.43478,0.72464,3.021,0.000166314,0.000166314,0.0669035
2,80.0283,0.30103,0.42029,0.68116,6.00195,0.000319795,0.000319795,0.0337236
3,119.958,0.23837,0.44928,0.69565,7.2168,0.000460076,0.000460076,0.000530548
4,159.33,0.206,0.49275,0.71014,5.17773,0.0004406,0.0004406,0.0004406
5,199.332,0.16815,0.47826,0.66667,5.57617,0.0004208,0.0004208,0.0004208
6,237.714,0.14548,0.43478,0.68116,7.43359,0.000401,0.000401,0.000401
7,277.58,0.12835,0.42029,0.73913,6.22852,0.0003812,0.0003812,0.0003812
8,320.169,0.12336,0.44928,0.73913,8.74219,0.0003614,0.0003614,0.0003614
9,361.953,0.10155,0.49275,0.71014,6.60742,0.0003416,0.0003416,0.0003416
10,403.089,0.09493,0.49275,0.73913,5.55469,0.0003218,0.0003218,0.0003218
11,445.265,0.09006,0.46377,0.73913,5.75195,0.000302,0.000302,0.000302
12,487.521,0.08104,0.47826,0.68116,9.68555,0.0002822,0.0002822,0.0002822
13,529.688,0.0712,0.47826,0.69565,3.64966,0.0002624,0.0002624,0.0002624
14,571.813,0.07562,0.47826,0.71014,4.93555,0.0002426,0.0002426,0.0002426
15,610.998,0.06805,0.46377,0.65217,7.73047,0.0002228,0.0002228,0.0002228
16,663.537,0.06089,0.46377,0.73913,6.14648,0.000203,0.000203,0.000203
17,702.816,0.05981,0.47826,0.72464,8.51172,0.0001832,0.0001832,0.0001832
18,741.648,0.05404,0.49275,0.72464,7.95312,0.0001634,0.0001634,0.0001634
19,779.896,0.05513,0.50725,0.71014,4.41016,0.0001436,0.0001436,0.0001436
20,817.723,0.04734,0.49275,0.71014,6.34375,0.0001238,0.0001238,0.0001238
