epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.3158,0.38446,0.43478,0.71014,3.375,0.00332629,0.00332629,0.0700634
2,87.3547,0.27628,0.3913,0.73913,6.42188,0.0063959,0.0063959,0.0397997
3,129.317,0.26349,0.3913,0.71014,8.21484,0.00920151,0.00920151,0.00927198
4,171.019,0.30891,0.44928,0.65217,5.28906,0.008812,0.008812,0.008812
5,215.825,0.25952,0.46377,0.72464,5.5,0.008416,0.008416,0.008416
6,259.523,0.22383,0.49275,0.63768,6.13086,0.00802,0.00802,0.00802
7,301.725,0.19919,0.42029,0.72464,6.37305,0.007624,0.007624,0.007624
8,344.649,0.17269,0.42029,0.71014,6.76562,0.007228,0.007228,0.007228
9,387.801,0.13885,0.49275,0.68116,6.58008,0.006832,0.006832,0.006832
10,428.889,0.13664,0.46377,0.73913,4.73535,0.006436,0.006436,0.006436
11,466.501,0.12677,0.49275,0.69565,5.64844,0.00604,0.00604,0.00604
12,504.077,0.10855,0.46377,0.68116,9.45898,0.005644,0.005644,0.005644
13,537.238,0.09456,0.46377,0.71014,3.66113,0.005248,0.005248,0.005248
14,578.893,0.0901,0.47826,0.72464,5.21094,0.004852,0.004852,0.004852
15,619.431,0.08653,0.44928,0.71014,7.17188,0.004456,0.004456,0.004456
16,674.239,0.07346,0.44928,0.71014,5.60352,0.00406,0.00406,0.00406
17,714.464,0.0732,0.44928,0.71014,9.77734,0.003664,0.003664,0.003664
18,754.851,0.06403,0.47826,0.71014,8.73828,0.003268,0.003268,0.003268
19,795.848,0.06321,0.49275,0.73913,4.30713,0.002872,0.002872,0.002872
20,837.356,0.05649,0.47826,0.71014,6.50586,0.002476,0.002476,0.002476
21,879.659,0.05407,0.49275,0.68116,4.229,0.00208,0.00208,0.00208
22,920.689,0.04092,0.49275,0.66667,5.87695,0.001684,0.001684,0.001684
23,961.793,0.0478,0.49275,0.69565,10.8145,0.001288,0.001288,0.001288
24,1002.94,0.03874,0.49275,0.68116,7.40625,0.000892,0.000892,0.000892
25,1042.65,0.03556,0.49275,0.68116,9.07617,0.000496,0.000496,0.000496
