epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.5964,1.56503,0.816,0.99,0.58426,0.000236484,0.000236484,0.000236484
2,37.7437,0.38845,0.913,0.997,0.27148,0.000455695,0.000455695,0.000455695
3,50.1953,0.22386,0.933,0.997,0.20787,0.000656055,0.000656055,0.000656055
4,62.0679,0.18464,0.962,0.997,0.12566,0.000629177,0.000629177,0.000629177
5,75.1677,0.13583,0.962,1,0.10407,0.000600902,0.000600902,0.000600902
6,86.836,0.12678,0.96,0.999,0.11706,0.000572628,0.000572628,0.000572628
7,98.2656,0.10105,0.935,1,0.20033,0.000544354,0.000544354,0.000544354
8,110.024,0.09762,0.973,1,0.08531,0.000516079,0.000516079,0.000516079
9,122.08,0.0854,0.95,0.998,0.15633,0.000487805,0.000487805,0.000487805
10,135.657,0.07996,0.982,1,0.06423,0.00045953,0.00045953,0.00045953
11,146.762,0.06883,0.979,1,0.05584,0.000431256,0.000431256,0.000431256
12,158.31,0.0662,0.976,0.997,0.08371,0.000402982,0.000402982,0.000402982
13,170.893,0.05796,0.972,1,0.07738,0.000374707,0.000374707,0.000374707
14,182.097,0.05491,0.965,1,0.11333,0.000346433,0.000346433,0.000346433
15,194.722,0.05754,0.975,0.999,0.06095,0.000318158,0.000318158,0.000318158
16,220.839,0.04956,0.983,1,0.04748,0.000289884,0.000289884,0.000289884
17,231.88,0.047,0.983,1,0.05527,0.00026161,0.00026161,0.00026161
18,243.29,0.04023,0.975,0.999,0.07085,0.000233335,0.000233335,0.000233335
19,255.926,0.04119,0.983,1,0.05163,0.000205061,0.000205061,0.000205061
20,267.03,0.03374,0.984,0.999,0.05459,0.000176786,0.000176786,0.000176786
21,278.337,0.03142,0.983,1,0.05574,0.000148512,0.000148512,0.000148512
22,289.682,0.02721,0.978,1,0.06551,0.000120238,0.000120238,0.000120238
23,300.748,0.02606,0.984,1,0.04652,9.19632e-05,9.19632e-05,9.19632e-05
24,312.799,0.02393,0.985,1,0.04083,6.36888e-05,6.36888e-05,6.36888e-05
25,324.12,0.02105,0.987,1,0.04118,3.54144e-05,3.54144e-05,3.54144e-05
