epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.0207,1.54106,0.838,0.99,0.51938,0.000236484,0.000236484,0.000236484
2,23.2527,0.3416,0.91,0.997,0.26453,0.000455695,0.000455695,0.000455695
3,34.6582,0.21162,0.939,0.999,0.1694,0.000656055,0.000656055,0.000656055
4,45.6818,0.15668,0.931,0.999,0.20497,0.000629177,0.000629177,0.000629177
5,58.4264,0.12169,0.961,0.999,0.1223,0.000600902,0.000600902,0.000600902
6,69.8086,0.10421,0.955,0.999,0.12353,0.000572628,0.000572628,0.000572628
7,80.6466,0.08981,0.959,1,0.13043,0.000544354,0.000544354,0.000544354
8,92.1608,0.08061,0.972,1,0.0815,0.000516079,0.000516079,0.000516079
9,103.39,0.07084,0.967,1,0.08576,0.000487805,0.000487805,0.000487805
10,115.633,0.06348,0.958,1,0.1169,0.00045953,0.00045953,0.00045953
11,126.724,0.06102,0.986,1,0.04836,0.000431256,0.000431256,0.000431256
12,138.259,0.05083,0.976,0.999,0.05555,0.000402982,0.000402982,0.000402982
13,149.422,0.0413,0.967,1,0.07066,0.000374707,0.000374707,0.000374707
14,160.402,0.04299,0.979,1,0.05395,0.000346433,0.000346433,0.000346433
15,171.945,0.04342,0.972,0.999,0.08155,0.000318158,0.000318158,0.000318158
16,199.043,0.03327,0.984,0.999,0.05072,0.000289884,0.000289884,0.000289884
17,210.136,0.03679,0.983,1,0.04012,0.00026161,0.00026161,0.00026161
18,221.627,0.02826,0.986,1,0.03818,0.000233335,0.000233335,0.000233335
19,232.789,0.02629,0.983,1,0.04495,0.000205061,0.000205061,0.000205061
20,244.644,0.02696,0.984,1,0.04715,0.000176786,0.000176786,0.000176786
21,255.825,0.02514,0.983,1,0.04589,0.000148512,0.000148512,0.000148512
