true,pred,count,share_of_class_errors
Tomato___Bacterial_spot,Tomato___Septoria_leaf_spot,6,1.0
Tomato___Late_blight,Tomato___Early_blight,2,1.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Leaf_Mold,2,1.0
Tomato___Tomato_mosaic_virus,Tomato___Leaf_Mold,2,0.2857142857142857
Tomato___healthy,Tomato___Late_blight,2,0.5
Tomato___Early_blight,Tomato___Bacterial_spot,1,0.25
Tomato___Early_blight,Tomato___Leaf_Mold,1,0.25
Tomato___Early_blight,Tomato___Septoria_leaf_spot,1,0.25
Tomato___Early_blight,Tomato___healthy,1,0.25
Tomato___Septoria_leaf_spot,Tomato___Leaf_Mold,1,1.0
Tomato___Tomato_mosaic_virus,Tomato___Bacterial_spot,1,0.14285714285714285
Tomato___Tomato_mosaic_virus,Tomato___Late_blight,1,0.14285714285714285
Tomato___Tomato_mosaic_virus,Tomato___Septoria_leaf_spot,1,0.14285714285714285
Tomato___Tomato_mosaic_virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1,0.14285714285714285
Tomato___Tomato_mosaic_virus,Tomato___healthy,1,0.14285714285714285
Tomato___healthy,Tomato___Leaf_Mold,1,0.25
Tomato___healthy,Tomato___Tomato_mosaic_virus,1,0.25
