class,total,errors,accuracy,mean_error_confidence,top_confusions
Tomato___Bacterial_spot,732,88,0.8797814207650273,0.6262212461707267,Septoria leaf spot: 44; Leaf Mold: 29; Late blight: 6
Tomato___Early_blight,643,15,0.9766718506998445,0.8084572911262512,Septoria leaf spot: 7; Late blight: 4; Leaf Mold: 2
Tomato___Late_blight,792,102,0.8712121212121212,0.5720870737351623,Leaf Mold: 32; Bacterial spot: 30; Septoria leaf spot: 22
Tomato___Leaf_Mold,739,57,0.9228687415426252,0.611093133687973,Bacterial spot: 20; Late blight: 16; Septoria leaf spot: 11
Tomato___Septoria_leaf_spot,746,76,0.8981233243967829,0.5929552779385918,Bacterial spot: 22; Late blight: 18; Leaf Mold: 14
Tomato___Spider_mites Two-spotted_spider_mite,435,1,0.9977011494252873,0.9721388220787048,Leaf Mold: 1
Tomato___Target_Spot,457,8,0.9824945295404814,0.7421441078186035,Spider mites Two-spotted spider mite: 6; Leaf Mold: 1; Late blight: 1
Tomato___Tomato_Yellow_Leaf_Curl_Virus,498,1,0.9979919678714859,0.7815704941749573,Leaf Mold: 1
Tomato___Tomato_mosaic_virus,584,10,0.9828767123287672,0.7129833370447158,healthy: 3; Septoria leaf spot: 2; Spider mites Two-spotted spider mite: 1
Tomato___healthy,805,10,0.9875776397515528,0.5793147772550583,Target Spot: 3; Septoria leaf spot: 3; Spider mites Two-spotted spider mite: 1
