name,epochs,imgsz,batch,optimizer,lr0,weight_decay,dropout,freeze,cos_lr,aug_profile,mixup,cutmix
p01_img224_lr5e4_wd5e4_augmed_e25,25,224,64,AdamW,0.0005,0.0005,0.0,0,False,medium,0.0,0.0
p02_img320_lr5e4_wd5e4_augmed_e25,25,320,32,AdamW,0.0005,0.0005,0.0,0,False,medium,0.0,0.0
p03_img416_lr5e4_wd5e4_augmed_e25,25,416,16,AdamW,0.0005,0.0005,0.0,0,False,medium,0.0,0.0
p04_img320_lr1e3_wd5e4_augmed_e25,25,320,32,AdamW,0.001,0.0005,0.0,0,False,medium,0.0,0.0
p05_img320_lr1e4_wd5e4_augmed_cos_e25,25,320,32,AdamW,0.0001,0.0005,0.0,0,True,medium,0.0,0.0
p06_img320_lr5e4_wd1e4_auglow_e25,25,320,32,AdamW,0.0005,0.0001,0.0,0,False,low,0.0,0.0
p07_img320_lr5e4_wd1e3_aughigh_e25,25,320,32,AdamW,0.0005,0.001,0.0,0,False,high,0.0,0.0
p08_img320_lr5e4_wd5e4_dropout01_e25,25,320,32,AdamW,0.0005,0.0005,0.1,0,False,medium,0.0,0.0
p09_img320_lr5e4_wd5e4_freeze9_e25,25,320,32,AdamW,0.0005,0.0005,0.0,9,False,medium,0.0,0.0
p10_img320_lr5e4_wd5e4_mixcut_e25,25,320,32,AdamW,0.0005,0.0005,0.0,0,False,medium,0.05,0.2
p11_img224_lr5e4_wd5e4_aughigh_e10,10,224,64,AdamW,0.0005,0.0005,0.0,0,False,high,0.0,0.0
p12_img320_sgd_lr1e2_wd5e4_augmed_e25,25,320,32,SGD,0.01,0.0005,0.0,0,False,medium,0.0,0.0
